,user,location,tweet,created_at,original_creator,retweet
1749,HamburgerDeern4,Milliways,RT @maree_jun: A relative of mine from China just sent me this. Rows of police surrounds her residential block where a positive  #coronavir…,2020-02-02 20:00:09,maree_jun,1
1750,FTI_emerging,,Comparing the impacts of SARS in 2003 to the #coronavirus today. Read more: https://t.co/qRuJoR6qwz,2020-02-02 20:00:08,,1
1751,hehoka,,Arrived in Brussel #coronavirus. https://t.co/7NA1Ekaxbb,2020-02-02 20:00:08,,1
1752,Wilson42557907,,RT @RT_com: #Wuhan hospital workers sing to the #coronavirus patients to keep their spirit up https://t.co/NEvSPEmQm1,2020-02-02 20:00:08,RT_com,1
1753,MccoinDon,Republic of Texas,"RT @AGWillliamBarr: PUBLIC SERVICE ANNOUNCEMENT
The #Coronavirus is responsible for the death of over 300 people. At this rate, the Coronav…",2020-02-02 20:00:08,AGWillliamBarr,1
1754,enbeweler,,#Coronavirus #2019nCoV - Situation update 2 February 12:00 CET - Geographical distribution of 2019-nCov cases globa… https://t.co/zEJHpYyNwN,2020-02-02 20:00:06,,1
1755,RNBreakfast,Australia,"How effective are border controls in stopping the escalating threat of a virus like the #coronavirus?

#2019nCoV

https://t.co/cJkt2IljwR",2020-02-02 20:00:06,,1
1756,909islive,,RT @IsChinar: No one can disembark from Hokkaido flying to Hong Kong.  Seven people had a fever.  It is believed that Hong Kong aircraft we…,2020-02-02 20:00:06,IsChinar,1
1757,tbdnonymous,"New Albany, IN","#Coronavirus #nCoV2019 
Report as of 02/02/2020 19:56 UTC

Total Confirmed 14,637 
Total Deaths 305 
Total Recovere… https://t.co/l9VHEGeGK9",2020-02-02 20:00:05,,1
1758,lily04022018,,"RT @cheungneo: While #MeiFu’s residents were against #CarrieLam to set up #coronavirus quarantining camp nearby, evil #HKPoliceTerrorists i…",2020-02-02 20:00:04,cheungneo,1
1759,coonavass,,"RT @echewy: Please DO NOT go to Cafe/Restaurant Casanova by Cucina 105 on Macquarie Street, Liverpool in Sydney. Cheap racist jokes only pe…",2020-02-02 20:00:03,echewy,1
1760,jeffreymadwisc,fema region V ,"RT @RogowskiBubba: OK, so 1 dead #Coronavirus victim, guy's in hazmat suits take a break while a woman just walks out of the building? Impo…",2020-02-02 20:00:02,RogowskiBubba,1
1761,1abuazzam,Gitnang Silangan,"RT @RT_com: #Turkey #AirForce evacuates 42 people from #Wuhan amid #coronavirus outbreak: 32 Turkish nationals, and citizens of #Georgia, #…",2020-02-02 20:00:02,RT_com,1
1762,AsiyaAhd,Pakistan,"RT @Asad83M: Reality that should be spread regarding #CoronaVirus, no hopes from Pakistani media, but we can atleast use social media power…",2020-02-02 20:00:02,Asad83M,1
1763,cray_ozy,"Lagos, Nigeria","RT @Tsinghua_Uni: A medical team of 11 nurses and doctors, from the Beijing #Tsinghua Changgung Hospital, left today to help fight the #cor…",2020-02-02 20:00:02,Tsinghua_Uni,1
1764,OurFutureBot,Italy,RT @BygoneDiva: @mjrowland68 @JoshFrydenberg @David_Speers Frydenberg wouldn't admit it if his pants were on fire such is the Morrison cone…,2020-02-02 20:00:02,BygoneDiva,1
1765,Miss_de_Haro,,"RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:00:01,TomValletti,1
1766,carloselpana,"Caracas, Venezuela","RT @ConflictsW: Indonesian citizens rescued from Wuhan, China being ‘decontaminated’ after exiting the plane before being quarantined for 2…",2020-02-02 20:00:01,ConflictsW,1
1767,arabnewspk,,#SaudiArabia evacuates students as the first death related to #coronavirus outside of China reported https://t.co/8GRgCNxkBr,2020-02-02 20:00:01,,1
